"____ (breakdance)", "breakin'"
"In 1986, Pierce Brosnan starred in this movie", "nomads"
"In 1986, Richard Gere starred in this movie", "no mercy"
"In 1986, Richard Gere starred in this movie", "power"
"In 1986, Robert De Niro starred in this movie", "the mission"
"In 1986, Robin Williams starred in this movie", "club paradise"
"In 1986, Robin Williams starred in this movie", "seize the day"
"In 1986, Sarah Jessica Parker starred in this movie", "the flight of the navigator"
"In 1986, Sean Connery starred in this movie", "highlander"
"In 1986, Sean Connery starred in this movie", "the name of the rose"
"In 1986, Sigourney Weaver starred in this movie", "aliens"
"In 1986, Sigourney Weaver starred in this movie", "half moon street"
"In 1986, Susan Sarandon starred in this movie", "women of valor"
"In 1986, Sylvester Stallone starred in this movie", "cobra"
"In 1986, Tom Cruise starred in this movie", "the color of money"
"In 1986, Tom Cruise starred in this movie", "top gun"
"In 1986, Tom Hanks starred in this movie", "every time we say goodbye"
"In 1986, Tom Hanks starred in this movie", "nothing in common"
"In 1986, Tom Hanks starred in this movie", "the money pit"
"In 1986, Tommy Lee Jones starred in this movie", "black moon rising"
"In 1986, Wesley Snipes starred in this movie", "streets of gold"
"In 1986, Wesley Snipes starred in this movie", "wildcats"
"In 1986, Whoopi Goldberg starred in this movie", "jumpin' jack flash"
"In 1986, Winona Ryder starred in this movie", "lucas"
"In 1986, Woody Allen starred in this movie", "hannah and her sisters"
"In 1987 film that has a nude Julie andrews trying to seduce a junkman", "duet for one"
"In 1987 movie that teamed Matthew Broderick and Willie the Chimp", "project x"
"In 1987 thriller hyped with the line "she mates and she kills"", "black widow"
"In 1987, Arnold Schwarzenegger starred in this movie", "predator"
"In 1987, Arnold Schwarzenegger starred in this movie", "the running man"
"In 1987, Audrey Hepburn starred in this movie", "love among thieves"
"In 1987, Barbra Streisand starred in this movie", "nuts"
"In 1987, Bette Midler starred in this movie", "outrageous fortune"
"In 1987, Billy Crystal starred in this movie", "the princess bride"
"In 1987, Billy Crystal starred in this movie", "throw momma from the train"
"In 1987, Bruce Willis starred in this movie", "blind date"
"In 1987, Christopher Reeve starred in this movie", "street smart"
"In 1987, Dan Akroyd starred in this movie", "dragnet"
"In 1987, Denzel Washington starred in this movie", "cry freedom"
"In 1987, Drew Barrymore starred in this movie", "conspiracy of love"
"In 1987, Dustin Hoffman starred in this movie", "ishtar"
"In 1987, Eddie Murphy starred in this movie", "hollywood shuffle"
"In 1987, Elizabeth Hurley starred in this movie", "aria"
"In 1987, Elizabeth Taylor starred in this movie", "poker alice"
"In 1987, Gene Hackman starred in this movie", "no way out"
"In 1987, George Clooney starred in this movie", "return to horror high"
"In 1987, goldie hawn starred in this movie", "overboard"
"In 1987, Hugh Grant starred in this movie", "maurice"
"In 1987, James Woods starred in this movie", "best seller"
"In 1987, Jamie Lee Curtis starred in this movie", "a man in love"
"In 1987, Jamie Lee Curtis starred in this movie", "amazing grace and chuck"
"In 1987, Jeff Bridges starred in this movie", "eight million ways to die"
"In 1987, Jeff Bridges starred in this movie", "nadine"
"In 1987, Jodie Foster starred in this movie", "siesta"
"In 1987, Julie Andrews starred in this movie", "duet for one"
"In 1987, Kevin Bacon starred in this movie", "lemon sky"
"In 1987, Kevin Costner starred in this movie", "no way out"
"In 1987, Kevin Costner starred in this movie", "the untouchables"
"In 1987, Kirstie Alley starred in this movie", "summer school"
"In 1987, kurt russell starred in this movie", "overboard"
"In 1987, Meg Ryan starred in this movie", "innerspace"
"In 1987, Mel Gibson starred in this movie", "lethal weapon"
"In 1987, Melanie Griffith starred in this movie", "cherry 2000"
"In 1987, Meryl Streep starred in this movie", "ironweed"
"In 1987, Michael Caine starred in this movie", "surrender"
"In 1987, Michael Caine starred in this movie", "the fourth protocol"
"In 1987, Michael Caine starred in this movie", "the whistle blower"
"In 1987, Michael Douglas starred in this movie", "fatal attraction"
"In 1987, Michael Douglas starred in this movie", "wall street"
"In 1987, Michael Keaton starred in this movie", "the squeeze"
"In 1987, Michelle Pfeiffer starred in this movie", "amazon women on the moon"
"In 1987, Michelle Pfeiffer starred in this movie", "the witches of eastwick"
"In 1987, Nicolas Cage starred in this movie", "moonstruck"
"In 1987, Nicolas Cage starred in this movie", "raising arizona"
"In 1987, Nicole Kidman starred in this movie", "night master"
"In 1987, Nicole Kidman starred in this movie", "watch the shadows dance"
"In 1987, Pierce Brosnan starred in this movie", "taffin"
"In 1987, Pierce Brosnan starred in this movie", "the fourth protocol"
"In 1987, Raquel Welch starred in this movie", "right to die"
"In 1987, Robert De Niro starred in this movie", "angel heart"
"In 1987, Robert De Niro starred in this movie", "the untouchables"
"In 1987, Sally Field starred in this movie", "surrender"
"In 1987, Sean Connery starred in this movie", "the untouchables"
"In 1987, Sharon Stone starred in this movie", "allan quartermain and the lost city of gold"
"In 1987, Shirley MacLaine starred in this movie", "out on a limb"
"In 1987, Sigourney Weaver starred in this movie", "one woman or two"
"In 1987, Susan Sarandon starred in this movie", "the witches of eastwick"
"In 1987, Sylvester Stallone starred in this movie", "over the top"
"In 1987, Tom Hanks starred in this movie", "dragnet"
"In 1987, Tommy Lee Jones starred in this movie", "the big town"
"In 1987, Whoopi Goldberg starred in this movie", "burglar"
"In 1987, Whoopi Goldberg starred in this movie", "fatal beauty"
"In 1987, Winona Ryder starred in this movie", "square dance"
"In 1987, Woody Allen starred in this movie", "king lear"
"In 1988, Alec Baldwin starred in this movie", "beetlejuice"
"In 1988, Alec Baldwin starred in this movie", "married to the mob"
"In 1988, Alec Baldwin starred in this movie", "she's having a baby"
"In 1988, Alec Baldwin starred in this movie", "talk radio"
"In 1988, Alec Baldwin starred in this movie", "working girl"
"In 1988, Anthony Hopkins starred in this movie", "a chorus of disapproval"
"In 1988, Anthony Hopkins starred in this movie", "the dawning"
"In 1988, Anthony Hopkins starred in this movie", "the tenth man"
"In 1988, Arnold Schwarzenegger starred in this movie", "red heat"
"In 1988, Arnold Schwarzenegger starred in this movie", "twins"
"In 1988, Bette Midler starred in this movie", "beaches"
"In 1988, Bette Midler starred in this movie", "big business"
"In 1988, Bette Midler starred in this movie", "oliver and company"
"In 1988, Billy Crystal starred in this movie", "memories of me"
"In 1988, Bruce Willis starred in this movie", "die hard"
"In 1988, Bruce Willis starred in this movie", "sunset"
"In 1988, Christopher Reeve starred in this movie", "switching channels"
"In 1988, Dan Akroyd starred in this movie", "caddyshack ii"
"In 1988, Dan Akroyd starred in this movie", "my stepmother is an alien"
"In 1988, Dan Akroyd starred in this movie", "the couch trip"
"In 1988, Dan Akroyd starred in this movie", "the great outdoors"
"In 1988, Demi Moore starred in this movie", "the seventh sign"
"In 1988, Denzel Washington starred in this movie", "reunion"
"In 1988, Drew Barrymore starred in this movie", "far from home"
"In 1988, Dustin Hoffman starred in this movie", "rain man"
"In 1988, Eddie Murphy starred in this movie", "coming to america"
"In 1988, Elizabeth Hurley starred in this movie", "rowing with the wind"
"In 1988, Elizabeth Taylor starred in this movie", "young toscanini"
"In 1988, Gene Hackman starred in this movie", "another woman"
"In 1988, Gene Hackman starred in this movie", "bat 21"
"In 1988, Gene Hackman starred in this movie", "full moon in blue water"
"In 1988, Gene Hackman starred in this movie", "mississippi burning"
"In 1988, Gene Hackman starred in this movie", "split decisions"
"In 1988, George Clooney starred in this movie", "return of the killer tomatoes"
"In 1988, Harrison Ford starred in this movie", "frantic"
"In 1988, Harrison Ford starred in this movie", "working girl"
"In 1988, Hugh Grant starred in this movie", "lair of the white worm"
"In 1988, Hugh Grant starred in this movie", "rowing with the wind"
"In 1988, Hugh Grant starred in this movie", "the dawning"
"In 1988, Hugh Grant starred in this movie", "white mischief"
"In 1988, James Woods starred in this movie", "cop"
"In 1988, James Woods starred in this movie", "the boost"
"In 1988, Jamie Lee Curtis starred in this movie", "a fish called wanda"
"In 1988, Jamie Lee Curtis starred in this movie", "dominick and eugene"
"In 1988, Jane Fonda starred in this movie", "old gringo"
"In 1988, Jodie Foster starred in this movie", "five corners"
"In 1988, Jodie Foster starred in this movie", "stealing home"
"In 1988, Jodie Foster starred in this movie", "the accused"
"In 1988, Julia Roberts starred in this movie", "satisfaction"
"In 1988, Katharine Hepburn starred in this movie", "laura lansing slept here"
"In 1988, Kevin Bacon starred in this movie", "criminal law"
"In 1988, Kevin Bacon starred in this movie", "end of the line"
"In 1988, Kevin Bacon starred in this movie", "she's having a baby"
"In 1988, Kevin Costner starred in this movie", "bull durham"
"In 1988, Kirstie Alley starred in this movie", "she's having a baby"
"In 1988, Kirstie Alley starred in this movie", "shoot to kill"
"In 1988, kurt russell starred in this movie", "tequila sunrise"
"In 1988, Lauren Bacall starred in this movie", "appointment with death"
"In 1988, Lauren Bacall starred in this movie", "mr. north"
"In 1988, Meg Ryan starred in this movie", "D.O.A."
"In 1988, Meg Ryan starred in this movie", "promised land"
"In 1988, Meg Ryan starred in this movie", "the presidio"
"In 1988, Mel Gibson starred in this movie", "tequila sunrise"
"In 1988, Melanie Griffith starred in this movie", "stormy monday"
"In 1988, Melanie Griffith starred in this movie", "the milagro beanfield war"
"In 1988, Melanie Griffith starred in this movie", "working girl"
"In 1988, Meryl Streep starred in this movie", "a cry in the dark"
"In 1988, Michael Caine starred in this movie", "dirty rotten scoundrels"
"In 1988, Michael Caine starred in this movie", "jack the ripper"
"In 1988, Michael Caine starred in this movie", "without a clue"
"In 1988, Michael Keaton starred in this movie", "beetlejuice"
"In 1988, Michael Keaton starred in this movie", "clean and sober"
"In 1988, Michelle Pfeiffer starred in this movie", "dangerous liaisons"
"In 1988, Michelle Pfeiffer starred in this movie", "married to the mob"
"In 1988, Michelle Pfeiffer starred in this movie", "tequila sunrise"
"In 1988, Pierce Brosnan starred in this movie", "the deceivers"
"In 1988, Raquel Welch starred in this movie", "scandal in a small town"
"In 1988, Robert De Niro starred in this movie", "midnight run"
"In 1988, Robin Williams starred in this movie", "the adventures of baron munchausen"
"In 1988, Sally Field starred in this movie", "punchline"
"In 1988, Sarah Michelle Gellar starred in this movie", "funny farm"
"In 1988, Sean Connery starred in this movie", "memories of me"
"In 1988, Sean Connery starred in this movie", "the presidio"
"In 1988, Sharon Stone starred in this movie", "above the law"
"In 1988, Sharon Stone starred in this movie", "action jackson"
"In 1988, Sharon Stone starred in this movie", "cold steel"
"In 1988, Shirley MacLaine starred in this movie", "madame sousatzka"
"In 1988, Sigourney Weaver starred in this movie", "gorillas in the mist"
"In 1988, Sigourney Weaver starred in this movie", "working girl"
"In 1988, Susan Sarandon starred in this movie", "bull durham"
"In 1988, Susan Sarandon starred in this movie", "sweet hearts dance"
"In 1988, Sylvester Stallone starred in this movie", "rambo iii"
"In 1988, Tom Cruise starred in this movie", "cocktail"
"In 1988, Tom Hanks starred in this movie", "big"
"In 1988, Tom Hanks starred in this movie", "punchline"
"In 1988, Tommy Lee Jones starred in this movie", "stormy monday"
"In 1988, Whoopi Goldberg starred in this movie", "clara's heart"
"In 1988, Whoopi Goldberg starred in this movie", "the telephone"
"In 1988, Winona Ryder starred in this movie", "beetlejuice"
"In 1989, Alec Baldwin starred in this movie", "great balls of fire!"
"In 1989, Angela Lansbury starred in this movie", "the shell seekers"
"In 1989, Audrey Hepburn starred in this movie", "always"
"In 1989, Billy Crystal starred in this movie", "when harry met sally ..."
"In 1989, Brad Pitt starred in this movie", "cutting class"
"In 1989, Brad Pitt starred in this movie", "happy together"
"In 1989, Bruce Willis starred in this movie", "in country"
"In 1989, Bruce Willis starred in this movie", "look who's talking"
"In 1989, Bruce Willis starred in this movie", "that's adequate"
"In 1989, Dan Akroyd starred in this movie", "driving miss daisy"
"In 1989, Dan Akroyd starred in this movie", "ghostbusters 2"
"In 1989, Dan Akroyd starred in this movie", "loose cannons"
"In 1989, Demi Moore starred in this movie", "we're no angels"
"In 1989, Denzel Washington starred in this movie", "for queen and country"
"In 1989, Denzel Washington starred in this movie", "glory"
"In 1989, Denzel Washington starred in this movie", "the mighty quinn"
"In 1989, Drew Barrymore starred in this movie", "see you in the morning"
"In 1989, Dustin Hoffman starred in this movie", "family business"
"In 1989, Eddie Murphy starred in this movie", "harlem nights"
"In 1989, Elizabeth Taylor starred in this movie", "sweet bird of youth"
"In 1989, Emma Thompson starred in this movie", "henry v"
"In 1989, Emma Thompson starred in this movie", "the tall guy"
"In 1989, Gene Hackman starred in this movie", "loose cannons"
"In 1989, Gene Hackman starred in this movie", "the package"
"In 1989, Harrison Ford starred in this movie", "indiana jones and the last crusade"
"In 1989, Hugh Grant starred in this movie", "the lady and the highwayman"
"In 1989, Hugh Grant starred in this movie", "till we meet again"
"In 1989, James Woods starred in this movie", "immediate family"
"In 1989, James Woods starred in this movie", "My Name is Bill W."
"In 1989, James Woods starred in this movie", "true believer"
"In 1989, Jeff Bridges starred in this movie", "cold feet"
"In 1989, Jeff Bridges starred in this movie", "see you in the morning"
"In 1989, Jeff Bridges starred in this movie", "the fabulous baker boys"
"In 1989, Jodie Foster starred in this movie", "backtrack"
"In 1989, John Travolta starred in this movie", "look who's talking"
"In 1989, John Travolta starred in this movie", "the experts"
"In 1989, Julia Roberts starred in this movie", "blood red"
"In 1989, Julia Roberts starred in this movie", "steel magnolias"
"In 1989, Kevin Bacon starred in this movie", "the big picture"
"In 1989, Kevin Bacon starred in this movie", "tremors"
"In 1989, Kevin Costner starred in this movie", "field of dreams"
"In 1989, Kirstie Alley starred in this movie", "look who's talking"
"In 1989, Kirstie Alley starred in this movie", "loverboy"
"In 1989, kurt russell starred in this movie", "tango and cash"
"In 1989, kurt russell starred in this movie", "winter people"
"In 1989, Lauren Bacall starred in this movie", "dinner at eight"
"In 1989, Marlon Brando starred in this movie", "a dry white season"
"In 1989, Meg Ryan starred in this movie", "when harry met sally ..."
"In 1989, Mel Gibson starred in this movie", "lethal weapon 2"
"In 1989, Michael Douglas starred in this movie", "black rain"
"In 1989, Michael Douglas starred in this movie", "the war of the roses"
"In 1989, Michael Keaton starred in this movie", "batman"
"In 1989, Michael Keaton starred in this movie", "the dream team"
"In 1989, Michelle Pfeiffer starred in this movie", "the fabulous baker boys"
"In 1989, Nicolas Cage starred in this movie", "vampire's kiss"
"In 1989, Nicole Kidman starred in this movie", "dead calm"
"In 1989, Pierce Brosnan starred in this movie", "the heist"
"In 1989, Raquel Welch starred in this movie", "trouble in paradise"
"In 1989, Robert De Niro starred in this movie", "jacknife"
"In 1989, Robert De Niro starred in this movie", "we're no angels"
"In 1989, Robin Williams starred in this movie", "dead poets society"
"In 1989, Sally Field starred in this movie", "steel magnolias"
"In 1989, Sarah Michelle Gellar starred in this movie", "high stakes"
"In 1989, Sean Connery starred in this movie", "family business"
"In 1989, Sean Connery starred in this movie", "indiana jones and the last crusade"
"In 1989, Sharon Stone starred in this movie", "beyond the stars"
"In 1989, Sharon Stone starred in this movie", "blood and sand"
"In 1989, Shirley MacLaine starred in this movie", "steel magnolias"
"In 1989, Sigourney Weaver starred in this movie", "ghostbusters 2"
"In 1989, Susan Sarandon starred in this movie", "a dry white season"
"In 1989, Susan Sarandon starred in this movie", "da grande"
"In 1989, Susan Sarandon starred in this movie", "erik the viking"
"In 1989, Susan Sarandon starred in this movie", "the january man"
"In 1989, Sylvester Stallone starred in this movie", "lock up"
"In 1989, Sylvester Stallone starred in this movie", "tango and cash"
"In 1989, Tom Hanks starred in this movie", "the 'burbs"
"In 1989, Tom Hanks starred in this movie", "turner and hooch"
"In 1989, Tommy Lee Jones starred in this movie", "the package"
"In 1989, Wesley Snipes starred in this movie", "king of new york"
"In 1989, Wesley Snipes starred in this movie", "major league"
"In 1989, Whoopi Goldberg starred in this movie", "homer and eddie"
"In 1989, Whoopi Goldberg starred in this movie", "kiss shot"
"In 1989, Winona Ryder starred in this movie", "heathers"
"In 1989, Woody Allen starred in this movie", "new york stories"
"In the 1983 movie "national lampoon's vacation," where were the griswolds headed on their cross country trip", "walleyworld"
"In the 1984 movie "splash", the pretty blonde mermaid chooses which street name to be her own", "madison"
"iron ____", "eagle"
"jeff bridges, phone home", "starman"
"johnny ____", "dangerously"
"jumpin' jack ____", "flash"
"just one of the ____", "guys"
"killer ____ from outer space", "klowns"
"ladies and gentlemen, introducing denzel washington", "glory"
"less than ____", "zero"
"let's make chevy chase a spy!", "fletch"
"license to ____", "drive"
"little tommy hanks gets his wish", "big"
"lost ____", "boys"
"mad ____", "max"
"mad max beyond ____", "thunderdome"
"making the ____", "grade"
"Mary Elizabeth Mastrantonio (MM!) in a deep-sea odyssey", "Abyss"
"mary elizabeth mastrantonio in a deep-sea odyssey", "abyss"
"maximum ____", "overdrive"
"Michael Mann's slick classic", "miami vice"
"michelle pfeiffer scores as a predatory bird", "ladyhawke"
"midnight ____", "run"
"mix jeff goldblum's and geena davis's dna, then remove geena davis's dna", "fly"
"mix kim cattrall, a honky-tonk, and a bunch of teenage boys", "porky's"
"mmm. tastes like fish", "splash"
"moon over ____", "parador"
"moon____", "walker"
"Movie that earned Glenn Close her 2nd Oscar nomination", "the big chill"
"Movie that opens with a smiling baby bouncing to "When I'm sixty-four"", "the world according to Garp"
"mr. ____", "mom"
"my ____ project", "science"
"my left ____", "foot"
"naked ____", "gun"
"Name the movie with the quote "a dirty mind is a terrible thing to waste."", "steel magnolias"
"Name the movie with the quote "a woman is a hole, isn't that what they say"", "witches of eastwick"
"Name the movie with the quote "class dismissed. i have an enormous headache in my eye."", "throw mama from the train"
"Name the movie with the quote "did you have a brain tumor for breakfast"", "heathers"
"Name the movie with the quote "did you know that organized crime is the fourth largest employer in new jersey"", "wiseguys"
"Name the movie with the quote "do math majors multiply do eggs get laid"", "moonlighting"
"Name the movie with the quote "do you know how to get good penetration"", "wildcats"
"Name the movie with the quote "ever danced with the devil in the pale moonlight"", "batman"
"Name the movie with the quote "f^ck me gently with a chainsaw."", "heathers"
"Name the movie with the quote "halloween in hollywood is redundant."", "glitter dome"
"Name the movie with the quote "he called me a baboon! he thinks i'm his wife!"", "caddyshack"
"Name the movie with the quote "how much for the women"", "blues brothers"
"Name the movie with the quote "i love the south bronx. anywhere you go from there is up."", "fame"
"Name the movie with the quote "i want to be just like you. all i need is a lobotomy and some tights."", "breakfast club"
"Name the movie with the quote "if brains were dynamite, you couldn't blow your nose."", "american graffiti"
"Name the movie with the quote "in new jersey, anything can happen."", "purple rose of cairo"
"Name the movie with the quote "in the southeast, they say if you want to go to heaven, you have to change planes in atlanta."", "accidental tourist"
"Name the movie with the quote "is this heaven" "no, it's iowa."", "field of dreams"
"Name the movie with the quote "it happens sometimes. people just explode."", "repo man"
"Name the movie with the quote "last time i saw a mouth like that, it had a hook in it!"", "caddyshack"
"Name the movie with the quote "mister, if you don't shut up, i'm gonna kick 100 percent of your ass!"", "fast times at ridgemont high"
"Name the movie with the quote "not too smart, are you i like that in a man."", "body heat"
"Name the movie with the quote "now i know what i've been faking all these years."", "private benjamin"
"Name the movie with the quote "now, i want you to breathe through your eyelids."", "bull durham"
"Name the movie with the quote "now, let's turn on the juice and see what shakes loose!"", "beetlejuice"
"Name the movie with the quote "only a few select friends know my private parts."", "zorro, the gay blade"
"Name the movie with the quote "poland, the doormat of europe. everybody steps on us."", "to be or not to be"
"Name the movie with the quote "right there, between your legs! pull on it!"", "king solomon's mines"
"Name the movie with the quote "snotty beamed me twice last night. it was wonderful."", "spaceballs"
"Name the movie with the quote "somebody oughta cut out your brain and pickle it."", "cotton club"
"Name the movie with the quote "take me to bed or lose me forever!"", "top gun"
"Name the movie with the quote "the bargain basement i've been kidnapped by k-mart"", "ruthless people"
"Name the movie with the quote "we came, we saw, we kicked its ass."", "ghostbusters"
"Name the movie with the quote "we're not homosexuals, but we're willing to learn."", "stripes"
"Name the movie with the quote "when i want your opinion, i'll beat it out of you."", "code of silence"
"Name the movie with the quote "you made a woman meow"", "when harry met sally"
"Name the movie with the quote "you're a ghost, i'm an american. it would never work out."", "high spirits"
"Name the movie with the quote and never call me shirley", "airplane"
"national lampoon's ____", "vacation"
"near ____", "dark"
"never say ____ again", "never"
"never, never add water", "gremlins"
"night ____", "shift"
"night of the ____", "comet"
"nightmare on ____ street", "elm"
"nineteen ____", "eighty-four"
"no way ____", "out"
"no, not gremlins, they're", "critters"
"Object that Ayla becomes secretly proficient with in Clan of the Cave Bear", "the sling"
"olivia newton-john meets mt. olympus", "xanadu"
"on golden ____", "pond"
"one ____ summer", "crazy"
"one-eyed willie and his hidden treasure save the day", "goonies"
"out of ____", "africa"
"palais ____", "royale"
"playing for ____", "keeps"
"police ____", "academy"
"proof that there's life in the afterlife. and geena davis's lips", "beetlejuice"
"racing with the ____", "moon"
"raging ____", "bull"
"raiders of the ____ ark", "lost"
"raising ____", "arizona"
"raw ____", "deal"
"real ____", "genius"
"red ____", "dawn"
"return of the ____", "jedi"
"return to ____", "oz"
"revenge of the ____", "nerds"
"ricki lake, before her television show", "hairspray"
"risky ____", "business"
"road ____", "house"
"Roman Polanski's 1980 film adaptation of a Thomas Hardy novel", "tess"
"running ____", "scared"
"say ____", "anything"
"secret ____", "admirer"
"seven ____ of death", "doors"
"sex, lies and ____", "videotape"
"she's ____ a baby", "having"
"shock ____", "treatment"
"short ____", "circuit"
"silver ____", "bullet"
"Sitcom that got Isabel Sanford her 1981 best actress Emmy", "the jeffersons"
"six ____", "weeks"
"some ____ of hero", "kind"
"some kind of ____", "wonderful"
"somewhere in ____", "time"
"soul ____", "man"
"spielberg, dreyfuss, john goodman, holly hunter, name the film", "always"
"st. ____ fire", "elmo's"
"stallone as a cop after a serial killer", "cobra"
"stallone goes postal in the pacific northwest", "rambo"
"star ____", "trek"
"streets of ____", "fire"
"teen ____", "wolf"
"tender ____", "mercies"
"the ____ artist", "pick-up"
"the ____ bride", "princess"
"the ____ brothers", "blues"
"the ____ cat", "black"
"the ____ club", "breakfast"
"the ____ connection", "naples"
"the ____ crystal", "dark"
"the ____ edge", "razor's"
"the ____ guy", "lonely"
"the ____ kid", "flamingo"
"the ____ kid", "karate"
"the ____ man", "elephant"
"the ____ man", "tall"
"the ____ of d.b. cooper", "pursuit"
"the ____ of the intruder", "flight"
"the ____ of the rose", "name"
"the ____ pit", "money"
"the ____ serpent", "winged"
"the ____ strikes back", "empire"
"the ____ thing", "sure"
"the ____ within", "beast"
"the ____, part three", "godfather"
"the big ____", "chill"
"the bitch is back, and it's not sigourney", "aliens"
"The Color ____", "Purple"
"The Color of ____", "Money"
"the colour ____", "purple"
"the colour of ____", "money"
"the evil ____", "dead"
"the falcon and the ____", "snowman"
"the final ____", "countdown"
"the king of ____", "comedy"
"the last ____ of christ", "temptation"
"the last ____", "emperor"
"the last ____", "starfighter"
"the last american ____", "virgin"
"The last team Tom Seaver tried to pitch for", "new york mets"
"the legend of ____ jean", "billie"
"the man with two ____", "brains"
"the monster ____", "squad"
"the neverending ____", "story"
"the new york ____", "ripper"
"the paean to late nights and teens in the 1950s", "diner"
"the right ____", "stuff"
"the running ____", "man"
"the secret of my ____", "success"
"The stock answer to "How long will it take" in "The Money Pit"", "two weeks"
"the wonder years, as written by oliver stone", "platoon"
"think dante's, think towering, think box office dud", "inferno"
"This actor was with Wagner and Natalie Wood when she drowned", "christopher walken"
"this is ____ tap", "spinal"
"This movie lost 3 days of shooting when Karanja the chimp needed a root canal", "project x"
"This town needs an enema", "Batman"
"three ____", "amigos"
"three men and a ____", "baby"
"ticket to ____", "heaven"
"time ____", "bandits"
"to live and die in ____", "l.a."
"tokyo ____", "pop"
"Tom Brokaw and this network anchor made their debuts in 1983", "peter jennings"
"tom cruise visits the forest primeval, and a unicorn", "legend"
"top ____", "secret"
"tuff ____", "turf"
"turn back, sarah, before it's too late", "labyrinth"
"TV sitcom most frequently taped in 1987", "the cosby show"
"uncle ____", "buck"
"under the ____ moon", "cherry"
"urban ____", "cowboy"
"vice ____", "versa"
"vulgar prodigy plays the 18th century's greatest hits", "amadeus"
"war of the ____", "roses"
"war____", "games"
"Wasn't Jesse Ventura in this dud?", "Commando"
"we're no ____", "angels"
"What anniversary did the Royal Television Society celebrate with a visit by the Queen in 1987", "60th"
"What Sinatra song opens and closes "The Pope of Greenwich Village"", "summer wind"
"What U.S. city does Howard the Duck land in", "cleveland"
"when harry ____ sally", "met"
"when opie visited the rest home", "cocoon"
"when ralph macchio left karate behind, he found himself here", "crossroads"
"Who ____ Roger Rabbit?", "Framed"
"Who said Bill Murray couldn't play Dickens?", "Scrooged"
"who stars in the 1980 film Brubaker", "Robert Redford"
"Who you gonna call?", "Ghostbusters"
"woman in ____", "red"
"yo, adrian!", "rocky"
"young ____ holmes", "sherlock"
"young____", "blood"
