"(In French and In German) - Same as mass", "messe"
"(In Italian) - The bass part (played on keyboard or other chordal instrument) with figures written below the notes indicating the harmonies to be played above them. This system was used greatly in the baroque period as an accompaniment for soloists or to enrich the general texture of a larger composition", "basso continuo"
"(In Italian) - The chief castrato or tenor role, used in the 18th century", "primo vomo"
"(In Italian) - The steady increasing and decreasing of volume on one long held note in singing", "messa di voce"
"(In Italian) - Theme", "tema"
"(In Italian) - Then. In the phrase scherzo da capo, e poi la coda it means repeat the scherzo and then go on to the coda", "poi"
"(In Italian) - Threatening", "minacciando"
"(In Italian) - Time, pace", "tempo"
"(In Italian) - Time. (1) The terms prima volta (first time) and seconda volta (second time) are used when a section of a composition, or the composition, is to be repeated with some change in the final bar(s) indicated by these words and horizontal brackets; (2) A lively dance in 6 / 8 time popular in the late 16th and early 17th centuries in which men swing women high in the air", "volta"
"(In Italian) - Too much", "troppo"
"(In Italian) - Turn over (the page) quickly. Volti subito, turn quickly", "volti"
"(In Italian) - Two strings. In piano music this occasionally indicates the release of the soft pedal (same as Tre Corde)", "due corde"
"(In Italian) - Urged on, pushed", "spinto"
"(In Italian) - Usually an 18th century term for an entertaining suite of movements for chamber ensemble or orchestra. Mozart wrote in this style", "divertimento"
"(In Italian) - Very fast. Superlative of presto", "prestissimo"
"(In Italian) - Very loud. Abbreviated ff", "fortissimo"
"(In Italian) - Very slightly, very little. Diminutive of poco", "pochettino"
"(In Italian) - Very soft, with abbreviation pp", "pianissimo"
"(In Italian) - Voice-part", "parte"
"(In Italian) - Voice", "voce"
"(In Italian) - Whispered, barely audible. This term is applicable to both instrumental and vocal music", "sotto voce"
"(In Italian) - With a forced manner (of a note or chord). Abbreviation is sf", "sforzando"
"(In Italian) - With expression", "espressivo"
"(In Italian) - With fire", "con fuoco"
"(In Italian) - With force, vigorously", "con forza"
"(In Italian) - Without", "senza"
"(In Italian) Abbreviation of basso continuo. Same as figured bass", "continuo"
"(In Italian), jig - A lively dance in binary form, usually in 6 / 8 or 12 / 8 time. Often occurs as the last movement in the 18th century suite", "gigue"
"(In Italian), solfege (In French) - Ear-training by singing exercises to sol-fa syllables. More advanced forms are sung to vowels known as vocalizzi (lt.) or vocalises (In French)", "solfeggio"
"(In Italian), sonatine (In French) - A little sonata. Shorter, lighter and generally easier to play than a sonata", "sonatina"
"(Italian )soft and loud, abrrev. is piano", "pianoforte"
"(Lat ., 'silent ') - An indication that a performer or instrument has no part in a particular movement or section", "tacet"
"(Latin gemellus, 'twin') - A type of two-part late medieval English vocal music, with great use of thirds and sixths", "gymel"
"(Latin missa parodia) - A polyphonic mass (e.g. by Palestrina) flourishing in the 16th century based on existing material of a motet or chanson. This term has only been used since the 19th century, however", "parody mass"
"(Latin, 'perpetually in motion') - A fast piece of music in which a rapid repetitive note-pattern is played throughout", "perpetuum mobile"
"(Latin, 'what you will') - A piece containing several popular tunes. The composition may be improvised or notated and was especially practised by German composers (e.g. Bach) in the 17th and 18th centuries", "quodlibet"
"(Latin, 'wheel') - Occasionally this term is used for the round (e.g. of Sumer is Icumen In)", "rota"
"(Latin) - (I) A short concise musical setting of the mass. (2) A setting of the Kyrie and Gloria only", "missa brevis"
"(Latin) - Mass", "missa"
"(lt.) - Sorrowful", "dolente"
"(ment) (In French) - Sweet (sweetly), gentle (gently)", "douce"
"(Old In Italian, 'equal') - Piece or pieces (equali) for instruments of the same kind", "equale"
"(Spanish, 'double step') or paso doble - A modern and quick Spanish dance in 2 / 4 time", "pasodoble"
"(Spanish) - A Catalonian national dance performed to pipes and drums, often in sections. Similar to the farandole", "sardana"
"(Spanish) - A lively Spanish dance in 3 / 4 or 6 / 8 time accompanied by guitar, castanets and performers' singing. The fandango includes sudden stops and speed increases", "fandango"
"(Spanish) - A quick Spanish dance with singing in 3 / 4 time often with castanets and similar to the bolero", "seguidilla"
"(Spanish) - A sad Andalusian song employing some intervals smaller than a semitone", "cante hondo"
"(Spanish) - A syncopated Cuban dance introduced into Spain in the l9th century with singing, usually in 2 / 4 time", "habanera"
"(Spanish) - An Andalusian dance, originating in Malaga, marked by singing. This term also describes an instrumental piece of similar nature", "malaguena"
"(Spanish) - An Andalusian song performed with guitar accompaniment and dancing of a mostly sad nature. Various types of namenco exist and are named after districts (e.g. malaguena and sevillana). Flamenco-style guitar employs quite different and forceful techniques compared to classical guitar playing", "cante flamenco"
"(Spanish) - Spanish traditional stage entertainment with satirical spoken dialogue", "zaruela"
"(Spanish) - Tune, air", "tonada"
"(Welsh, 'assembly') - Music or competitive festival", "eisteddfod"
"3/4 means there are 3 beats to the measure and a ____ gets the beat", "quarter note"
"A 20th century concept of playing a group of adjacent notes simultaneously on the piano (e.g. with the forearm or a piece of wood. The usual term is tone cluster or note cluster. Pioneered by Cowell in 1912 and used by Ives", "cluster"
"A 20th century concept of playing an adjacent group of notes on a piano simultaneously by applying the forearm, fist or piece of wood to the keyboard", "tone cluster"
"A 20th century term borrowed from painting and applied to other art forms implying a reaction against impressionism (e.g. the works of composers such as Debussy). Musically it is especially applied to the works of Schonberg, Berg and some compositions of Hindemith", "expressionism"
"A 20th century term, coined by John Cage, describing a piano which has been prepared by the insertion of objects between the piano strings for performance (e.g. a piece of cardboard)", "prepared piano"
"A bow stroke on stringed instruments from point to heel. See bowing and down-bow", "up-bow"
"A C Major Chord is made up of what three notes", "ceg"
"A cadence which ends on the dominant of the relative minor", "phrygian cadence"
"A cadence with the chord progression consisting of the dominant (chord V) to the tonic (chord I) which has a 'complete' sound", "perfect cadence"
"A canon in which the cornposer leaves the performer to decide where and at what pitch the following voices make their entries", "riddle canon"
"a chain of perfect fifths which will lead back to the original note (at a different octave) after working through the other eleven notes of the chromatic scale. It is useful for learning key signatures", "cycle of fifths"
"A chord of four notes played on a bowed string instrument", "quadruple stop"
"A chord on the fourth degree of the scale with a minor third and sixth (e.g. in C major it includes the notes F, A flat and D flat)", "neapolitan sixth"
"A Christian song of praise sung by a congregation with words specially written", "hymn"
"A closing cadence consisting of a progression of the subdominant (chord IV) to the tonic (Chord I) sounding like 'Amen'", "plagal cadence"
"A combination of sonata form and rondo form. In a rondo the five sections are A B A C A. In sonata rondo these become A B A C A B plus coda in which A becomes the first subject, B becomes the second subject and C becomes the development section. This form was rnuch used by Beethoven", "sonata rondo"
"A composition for eight voices or instruments, or simply eight people", "octet"
"A composition for five performers", "quintet"
"A composition for four performers", "quartet"
"A composition for two performers sometimes with accompaniment. A piano duet is for two pianists on one piano", "duet"
"A composition in three sections in the form A B A with the first section (A) being repeated (not necessarily exactly). B represents a different middle section", "ternary form"
"A composition of eight parts or voices, or the group of its performers", "octet"
"A composition of five voices or instruments", "quintet"
"A composition usually for two violins and a 'cello, with a keyboard playing the bass line and supporting harmonies. Much favoured in the late 17th and early 18th centuries", "trio sonata"
"A concerto for three solo instruments with orchestra", "triple concerto"
"A contrapuntal composition for two or more voices or parts built around a theme, which is successively imitated by entries of each voice at the beginning and developed throughout the piece. The initial entry in the tonic key is called the subject. The second entry in the dominant is called the answer. If this answer is exact (e.g. it reproduces the subject note for note in the dominant) then it is a real answer. If the answer is slightly modified to preserve tonality, it is called a tonal answer. After having announced the subject or answer, each voice passes on to another thematic element known as the countersubject. After each voice has made its initial entry the cxposition or first section of the fugue is complete. Thereafter, further entries of the subject appear, separated by contrapuntal episodes and the subject may be treated by augmentation, diminution, inversion, etc. J.S. Bach was one of the great masters of the fugue", "fugue"
"A curved line grouping notes together, indicating that they be joined smoothly in performance (eg. sung in one breath or played with one stroke of the bow, etc.)", "slur"
"A device in part-writing in which one voice repeats (or approximately repeats) a musical figure previously stated by another voice. Canon and fugue employ imitation with strict rules", "imitation"
"A direction to play "with fire" or great animation", "con fuoco"
"A direction to play loudly", "forte"
"A direction to play slightly faster than adagio", "adagietto"
"A direction to play slower, louder", "allargando"
"A direction to play very slowly", "adagissimo"
"A direction to repeat from the beginning", "da capo"
"A drama in which all or most characters sing and in which music is an important element. Early composers of opera include Monteverdi and Purcell. Other composers are Mozart, Beethoven, Rossini, Donizetti, Verdi, Wagner (who preferred the term music drama), Puccini, and in the 20th century, Berg and Britten", "opera"
"A dramatic stage work for only one character", "monodrama"
"A fairly quick dance in 4 / 4 time", "gavotte"
"A fast dance for two or more couples in 2 / 4 or 4 / 4 time, found mainly in Scotland, Ireland, Scandinavia and North America", "reel"
"A fast, syncopated and suggestive Afro-Cuban dance in 2 / 4 time, divided into eight beats. Became popular in the ballroom and jazz in the 1930s", "rumba"
"A final piece of a composition", "postlude"
"A five note scale, the commonest being without minor seconds (e.g. CDEGA-C...)", "pentatonic"
"A French Baroque dance in duple time with strong beat on beat three", "gavotte"
"A French square dance popular in the 19th century. It was in five sections alternating between 6 / 8 and 2 / 4 time and performed by two or four couples", "quadrille"
"A fugue with four different subjects", "quadruple fugue"
"A Greek word taken into Latin and sometimes used in modern contexts to describe a work equivalent to a symphony", "symphonia"
"A group of five notes to be performed in the time of 4", "quintuplet"
"A group of four notes to be played in the time of 3", "quadruplet"
"A group of notes forming a unit of a melody. To phrase a melody is to observe and mark the divisions of a melody into units or phrases", "phrase"
"A group of notes or a theme forming a basic element or idea in a composition by repetition and development", "subject"
"A group of seven notes to be played in the time of 4 or 6", "septuplet"
"A group of six notes to be peformed in the time of 4", "sextolet"
"A group of three notes played in the time of 2", "triplet"
"A harmonic device in which a note in a chord is kept sounding while another chord is played to form a discord. This discord is resolved by the prolonged note usually falling or rising to a note forming part of the new chord", "suspension"
"A harmonic device in which the effect of a discord is softened by first employing the note which actually causes that chord to be discordant, in the previous note with which it is consonant", "preparation"
"A l9th century style expressed by writers, painters and by musicians like Chopin, Liszt, Berlioz, Rossini and Paganini. Characteristics are Iyricism, chromatic harmony, an interest in literature, nationalism, programme music, miniature or character pieces and generally emotional aspects governing the traditional, formal musical structures", "romantic music"
"A literary term for a work of pastoral or peaceful nature and transferred to music (e.g. Siegfried Idyll by Wagner)", "idyll"
"A little sonata", "sonatina"
"A lively Cossack dance in 2 / 4 time", "trepak"
"A lively dance usually in triple time often contrasted (although often thematically linked) with the slower pavan which it followed", "galliard"
"A lively English dance, in triple time in the early 16th century. From the mid 18th century onwards it was in 4 / 4 time, acquiring an association with sailors", "hornpipe"
"A lowering in pitch which may be a semitone, or a description of someone singing or playing below normal pitch unintentionally. A double flat indicates a lowering of the pitch by two semitones", "flat"
"A marching piece either slow (4 / 4 time) or quick (2 / 4 or 6 / 8 time)", "march"
"A mass or musical setting for the dead", "requiem"
"A medieval type of part-writing based on plainsong and harmonised by either one, two or three parallel parts", "organum"
"A medley of popular tunes", "musical switch"
"A melodic group of notes forming the basis or chief idea in a composition by repetition or development. In musical analysis it is equated with subject. The term theme and variations describes a long musical statement which is developed", "theme"
"A mode represented on the white keys of the piano from B to B", "locrian mode"
"A mode represented on the white notes of the piano from G to G", "mixolydian mode"
"A moderately fast dance in 2 / 4 time for couples, originating in Bohemia in the 19th century and becoming popular in Europe and the U.S.A", "polka"
"A moderately fast Spanish dance in 3 / 4 time accompanied by castanets", "jodel"
"A modern ballroom dance with quick steps", "quickstep"
"A modernistic principal since 1945 of leaving elements of performance to pure chance (see aleatoric music) or letting performers decide when to play certain passages. Berio, Cage and Stockhausen used this concept in their compositions", "indeterminacy"
"A musical composition (originating around 1600) consisting of an extended setting of a religious or epic text for chorus, soloists and orchestra for performance in a church or concert hall, although originally oratorios involved scenery, costumes and action. An example is Handel's Messiah of 1742", "oratorio"
"A musical ornament consisting of rapid alternation starting with the written note and then the note above. In the 17th and 18th centuries the trill started with the note above and then the note below. Also known as shake", "trill"
"A musical ornament turning around a note starting with the note bove", "turn"
"A name for the third degree of the scale (e.g. E is in the mediant in C major). The mediant is so-called because it stands between the tonic and dominant", "mediant"
"A neverending canon popularly known as a round (e.g. Three Blind Mice)", "infinite canon"
"A nickname for the sustaining (right) pedal on the piano", "loud pedal"
"A note which is not part of the chord with which it sounds. This could mean a passing note or an appoggiatura", "non-harmonic note"
"A note, usually in the bass, which is held below changing harmonies above, with which it may be discordant", "pedal point"
"A note, which may be accented or unaccented, forming a discord with the chord with which it is heard, but is melodically placed between two consonant notes", "passing note"
"A pair of notes occupying time usually taken by three (e.g. 6 / 8 or 3 / 8)", "duplet"
"A performance by one or two performers", "recital"
"A performer with brilliant technique and exceptional skill", "virtuoso"
"A plainsong chant sung by a chorus alternating with solo verse(s)", "responsory"
"A Polish folk dance in moderate to fast 3 / 4 or 3 / 8 time. Adapted and stylised by Chopin", "mazurka"
"A prefix to a note indicating the pitch is to be lowered by two semitones", "double flat"
"A progression of single notes in ascending or descending order. A scale may be described as major, minor, chromatic, diatonic, pentatonic, twelve-note or a mode", "scale"
"A quick 19th century ballroom dance in 2 / 4 time", "galop"
"A quick, highly syncopated Brazilian carnival song danced usually in 2 / 4 time in a circle with a standard call and response between lead singer and chorus. The ballroom version is danced in couples and is more sedate", "samba"
"A rapid but minute fluctuation in pitch to give an expressive quality to a note (e.g. by a violinist's oscillations of the left hand). The degree and style is related to the intensity of feeling in the music", "vibrato"
"A rapid succession of notes on a drum approximating to a continuous sound", "roll"
"A recurring section of a song (both words and music) at the end of each stanza", "refrain"
"A responding musical phrase (e.g. in a fugue) which exactly reproduces the subject or entry of a theme at the fifth", "real answer"
"A restatement of a section of a composition usually indicated by repeat marks which consist of a pair of dots and a double bar. When the performer reaches these repeat marks, he then plays from the previous pair of dots, or if there are none, from the beginning", "repeat"
"A rhythmic figure consisting of a short note on the beat followed by a longer one held until the next beat. Found in Scottish music but also in other folk music", "Scotch snap"
"A rise in pitch which may be a semitone, or a description of someone singing or playing sharp unintentionally. A double sharp indicates a rising of the pitch by two semitones", "sharp"
"A sailors' work song with solo verses (often of an extemporised nature) and chorus matching certain rhythmical movements (e.g. pulling a rope together)", "shanty"
"A Scottish dance related to the reel with a slower tempo and characteristic rhythms with four beats to the bar", "strathspey"
"A section of a composition, usually with no structural importance", "passage"
"A secular, polyphonic, unaccompanied vocal composition set to poems for several parts, mainly cultivated in the 16th and 17th centuries. Italian writers of this time included Gabrieli and Palestrina (16th century). Monteverdi and Marenzio wrote in the later highly stylised manner of the 17th century. English writers included Morley and YVeelkes", "madrigal"
"A self-contained section of a large composition having its own time signature and title. In some works, movements are directly linked (without a break inbetween) and sound incomplete without performing them in sequence. In all works, movements form a cohesive whole, much like in a set of related literary short stories. movimento (In Italian) - Motion. Doppio mouvmento, at double the preceding speed", "movement"
"A sense of pitch which enables a person to identify a note simply by hearing it", "perfect pitch"
"A set of notes produced by a vibrating string or air column, determining the difference of tone colours of instruments", "harmonic series"
"A set of songs performed in its entirety and set to words by a single poet. Beethoven wrote the first example in 1816. In the romantic era, however, Schumann and Schubert used traditional German popular song combined with more imaginative accompaniment to illuminate and interpret words in a romantic way. An example is Die Winterreisce ('Winter Journey') composed in 1828 by Schubert", "song cycle"
"A short composition of improvisatory nature usually for piano. Schubert and Chopin wrote in this style", "impromptu"
"A short musical phrase (not as long as a theme) which is recognisable through repetition in a composition", "figure"
"A short opera", "operetta"
"A short vocal perpetual canon in which voices enter in turn to sing a melody at the octave or at the same pitch (e.g. Row, row, row your boat)", "round"
"A silence in a performer's part indicated by symbols corresponding to certain beats", "rest"
"A simple and short part-song in several sections for male voices, flourishing in Britain between 1650 and 1830", "glee"
"A slow and stately dance in 3 / 2 or 3 / 4 time, usually in binary form and one of the standard elements of the suite", "sarabande"
"A slow or fast dance in triple time with the characteristic one beat and one chord in the bar. The waltz became universally popular in the 19th century with Viennese composers", "waltz"
"A Spanish dance in fast, syncopated 3 / 4 time with song", "polo"
"A stage work giving more or less equal importance to opera and ballet (e.g. the works of Lully and Rameau in France in the 17th and 18th centuries)", "opera- ballet"
"A stage work involving elements of both opera and oratorio (e.g. Stravinsky's Oedipus Rex)", "opera oratorio"
"A stately Polish dance in moderately fast 3 / 4 time dating from at least the 16th century. Composers include Bach, but the most famous examples are the 13 written by Chopin", "polonaise"
"A string group consisting of two violins, viola and 'cello", "string quartet"
"A style of music in two or more parts in which (as opposed to homophony) each part is independent and of equal importance. Therefore, polyphonic music implies the use of counterpoint, and some of the most important forms are the motet, canon and fugue. Composers include Palestrina, Byrd and Bach", "polyphony"
"A term describing (from the 1960's) dramatic works simpler than opera and suitable for the concert platform", "music theatre"
"A term describing the course of a melody or melodies. Conjunct motion is movement by step. Disjunct motion is movement by leap. Similar motion describes two melodies moving in the same direction and contrary motion describes two melodies moving in opposite directions. Paralicl motion describes parts moving the same way and also keeping the same interval between them", "motion"
"A term for music which recurs and develops in the form of a quotation", "motto theme"
"A theme which is played backwards. This device was prominent in the Middle Ages in fugues and in 20th century serial music. Retrograde inversion describes a theme played backwards and upside-down", "retrograde motion"
"A three-note chord (e.g. C E G with E and G being a third and fifth above the lowest note C)", "triad"
"A title given by l9th and 20th century composers to describe works generally in one continuous movement suggestive of neroic, national or other romantic inspiration", "rhapsody"
"A title given to the basic A B A form or ternary form as used in an instrumental slow movement. However, this is rather vague and is best avoided since not every song is in this form", "song form"
"A title used byJ.S. Bach for contrapuntal two-part compositions for clavier. Bach called three-part compositions sinfonie but they are now also referred to as inventions", "invention"
"A triad in which the perfect fifth is reduced chromatically by a semitone (e.g. A C and E flat", "diminished triad"
"A type of 'augmented sixth' chord (e.g. A flat, C, E flat and F sharp whlch also may be treated as a dominant seventh chord", "German sixth"
"A type of American-influenced light stage entertainment which succeeded the musical comedy in the mid-20th century. Now known simply as a musical. An example is Phantom of the Opera with music by Andrew Lloyd Webber", "musical play"
"A type of augmented sixth chord (e.g. A flat, C and F sharp) distinguished by having a major triad and no other note between the notes forming the sixth", "Italian sixth"
"A type of metre where the beat units are divisible into three (e.g. 6 / 8, 9 / 8, 12 / 8. Opposite of simple time", "compound time"
"A type of plainsong associated with Pope Gregory I (590- 604) existing as a large collection of ancient monophonic melodies which were until quite recently used in the Roman Catholic Church", "gregorian chant"
"A type of rcligious Arnerican Negro folksong with a call and response pattern", "spiritual"
"A vertical line used to join two or more staves", "brace"
"A Wagnerian term for opera, which he felt to be inadequate. This term describes Wagner's new concept of the leitmotif and the fusing of scenery, costume, libretti, music and drama into a new art", "music drama"
"A wait of indefinite length on a note or rest", "pause"
"A work in which a theme connects more than one movement. Beethoven introduced it into symphonic music (e.g. in his Fifth symphony) and romantic composers developed it further", "cyclic form"
"Abbreviaion for piano (In Italian), soft. Varying degrees of increasing softness are abbreviated as pp, ppp, etc", "p"
"Abbreviation for cello", "vc"
"Abbreviation for pianissimo, very soft", "pp"
"Abbreviation for right hand", "rh"
"Abbreviation for viola", "vla"
"Abbreviation of fortissimo meaning very loud", "ff"
"Abbreviation of general pause", "GP"
"Abbreviation of German Kontrabass, double-bass", "KB"
"Abbreviation of Kochel in cataloguing Mozart's works", "K"
"Abbreviation of Latin opus, work. Used as a publishers' catalogue system to indicate the order in which a composer's works have been published. The higher the opus number, the later the music was published in a composer's lifetime", "op"
"Abbreviation of mezzo soprano", "M Sop"
"Abbreviation of pizzicato", "pizz"
"Abbreviation of rallentando", "rall"
"Abbreviation of recitative", "recit"
"Abbreviation of ritardando", "rit"
"Abbreviation of the major scale", "maj"
"Abbreviation of(l) Ray in the tonic sol-fa; (2) Respond", "r"
"Adjective describing major and minor scales and also modes. The opposite of chromatic music which introduces notes not in the prevailing key. Diatonic harmonies, intervals, passages, etc. are made up of notes of the current key", "diatonic"
"Adjective from counterpoint", "contrapuntal"
"Also called graccs or embellishments, these are notes considered to be an extra embellishment of a melody which are either added spontaneously by the performer or indicated by the composer on the score by signs or notation. In the 17th and 18th centuries, omaments were mostly indicated by signs and they included the trill, mordent, turn, arpeggio and appoggiatura. Composers wrote out ornaments in full in later periods", "ornaments"
"Also known as programme music or tone poem, this is a mid-19th century term introduced by Liszt to describe an orchestral piece influenced by a non-musical theme (e.g. Iiterature, art or emotions)", "symphonic poem"
"Alternative name for perfect cadence", "full close"
"Alternative name for trill", "shake"
"American term for serial music", "twelve tone"
"An alternative name for sonata form", "first movement form"
"An Argentinian dance in moderately slow time with syncopated rhythms, appearing in European and American ballrooms around World War I", "tango"
"An imperfect cadence", "half close"
"An interval smaller than a semitone, evident in some modern compositions", "microtone"
"An introductory piece or movement before a fugue, an act of an opera etc. Chopin and other later composers wrote preludes as short, independent piano pieces in one movement", "prelude"
"An opera in which the principal character undergoes a test or a difficult journey, or experiences hardships before reaching his goal (e.g . Mozart's Magic Flute)", "quest opera"
"An opera made up of selections from other operas", "pasticcio"
"An orchestral work revealing a literary or pictorial element in three movements, quick-slow-quick, from which the symphony evolved. The French overture has slow-quick-slow movements", "Italian overture"
"An ordered melodic theme in serial or 12-tone music", "tone row"
"Another name for bass clef", "f clef"
"Any notes of the harmonic series are given this name except for the first fundamental", "overtone"
"Aristocratic, elaborate English stage entertainment chiefly cultivated in the 17th century and involving poetry, dancing, scenery, costumes, instrumental and vocal music. The masque was related to opera and ballet", "masque"
"At double the speed of the preceding sectlon", "Doppio movimento"
"Complete silence. A rest of at least one bar for the whole orchestra. Abbreviation is GP", "general pause"
"Composing music for particular instruments. This term is used with reference to the composer's skill and knowledge of selecting instruments which sound well or are unusual, etc", "instrumentation"
"Consecutive fifths implied, but not actually present in harmony and nevertheless frowned upon by academics", "hidden fifths"
"Counterpoint in which four melodies can exchange position", "quadruple counterpoint"
"Describes a section of a composition in fugal style which is not actually a fugue", "fugato"
"Describes a trend, especially in the 1920's, characterised by its use of the concerto grosso technique, contrapuntal writing and avoidance of emotion. Neo-classical composers included Stravinsky and Hindemith", "neo-classical"
"Describes a wide range of 17th century English dances", "rant"
"Describes the harmonic relationships of keys (e.g. G major is closely related to D major (its dominant) since there is only the difference of one sharp. See also relative", "related"
"Describes the movement of parts or melodies when one remains on the same note and the other moves in some direction", "oblique motion"
"Descriptive music evoking a poem, novel, play, painting emotion or other non-musical source. More common term is programme music", "illustrative music"
"Device on some brass instruments, used principally on the trombone, for altering the length of the tube, and therefore the notes produced", "slide"
"Dominant triad with the addition of the seventh note from its root", "dominant seventh"
"Easily or fluently", "Facilmente"
"Emphasis on the off-beat and a characteristic of jazz styles", "syncopation"
"Equivalent of four quarter notes (in 4 / 4 time, 4 beats)", "whole note"
"Evident in the mid-16th and early 17th century, this was a harmonic bass line used for variations", "romanesca"
"Extremely fast articulation of sound on a wind instrument by the tongue, like trilling", "flutter-tongue"
"Fifth degree of the major or minor scale, or a triad built on it", "dominant"
"First or lowest note of the harmonic series", "fundamental"
"Four quarter notes to the bar, written 4 / 4 or C", "common time"
"Generally a four movement, serious and large scale sonata-like orchestral work involving a first movement, second movement, minuet and trio and finale. The first movement is often in sonata form, and this structure may also be evident in the slow movement and finale. This four-movement form became standard around 1760 with Mozart and Haydn but the number of movements may vary", "symphony"
"Generally a strophic song for several male, female or mixed voices in which there are many singers to a part, with the top part usually having the principal part. Composers include Elgar, Parry and Stanford", "part-song"
"Generally this means to improvise a song accompaniment", "vamp"
"Generally, this is a phrase repeated at a higher or lower interval. A real sequence is one in which the repeated phrase intervals are unaltered. A tonal sequcnce is one in which the repeated phrase is modified to prevent a key change", "sequence"
"Harmonic intervals of the same kind (e.g. thirds succeeding one another in the same parts", "consecutive intervals"
"Harmony in which notes of chords are written closely together (e.g. in barbershop quartets)", "close harmony"
"High Mass", "Missa solemnis"
"Highest female voice with range approximately extending from middle C to two octaves above that. Boy trebles can also achieve this range. The term is also applied to some instruments (e.g. soprano saxophone)", "soprano"
"In 4 / 4 time, the equivalent of one beat", "quarter note"
"In a fugue, for example, after the first entry has been stated there is an answer (or second statement at a different pitch). If this answer is slightly modified to keep the music within a certain key, then this is a tonal answer and the fugue a tonal fugue. This is the opposite of real answer", "tonal answer"
"In a fugue, this term describes an extra voice in the initial entries or exposition", "redundant entry"
"In harmony this is a suspension which resolves upwards not downwards", "retardation"
"In harmony this is the progression from a discord to a concord", "resolution"
"In medieval church music, the insertion of rests into vocal parts for expressive purposes", "hocket"
"In medieval music, this was triple time", "perfect time"
"In musical contexts, this term refers to the dramatic use of the spoken word against a musical background. This style may be used throughout an entire work or just as part of a work", "melodrama"
"In musical notation this is a line joining two adjacent notes of the same pitch together, indicating that the first note only should be played but should be prolonged until the second note's time value is up", "tie"
"Indications on the score provided by the composer to aid accurate performance of a work and consisting of dynamics (e.g. degrees of loudness and softness), tempo and mood", "expression marks"
"Instruction to a singer or instrumentalist to perform in the normal way (e.g. singing tenor instead of falsetto or playing without mutes)", "naturale"
"Instruction to play with the left hand in piano playing. Abbreviation of main gauche (In French)", "MG"
"Instruction to play with the right hand in piano playing. Abbreviations of main droite (In French) and mano destra (In Italian)", "md"
"Instruments that produce different notes than those written in concert pitch", "Transposing instruments"
"Invertible counterpoint in two parts occurring frequently in fugues", "double counterpoint"
"Invertible counterpoint in which three parts can be interchanged, each making a suitable bass for the other", "triple counterpoint"
"lightly", "Legerement"
"Liszt's term for leitmotif, the recurring and development of themes symbolising a character, emotion, object, idea, etc", "metamorphosis of themes"
"Midway between loud and soft and abbreviated mf", "Mezzo forte"
"Music signifying grief but especially describing bagpipe music played at Scottish clan funerals", "lament"
"Music which interprets or describes a story, painting, poem, landscape or emotional experience. Opposite of absolute music", "programme music"
"Music with national characteristics (e.g. use of folk music. The term is particularly applied to 19th century composers (e.g. Smetena and Grieg. Bartok and Kodaly were also famous as nationalist composers)", "nationalist"
"Music with only one theme", "monothematic"
"Musical term to indicate the tonality of a piece based on the major or minor scales and their relationship between the notes of the scale and chords built around them. There are two traditional types of keys (major or minor) depending upon whether they are based on the notes of the major or minor scale", "Key"
"Notated music of all performers' parts combined in an ordered form in which each part appears vertically above another. A piano score is one in which all orchestral or even vocal parts are reduced to a piano part. A miniaturce or pocket score reproduces all parts and details of the full score but is of a size more suitable for study", "score"
"Note of the scale; Abbreviation for Deutsch in the cataloguing of works by Schubert", "D"
"Note of the scale", "G"
"Observance of a single key. Atonality, lack of key. Polytonality, the simultaneous use of several keys", "tonality"
"One of the three types of minor scale", "melodic minor"
"Opposite of major. Applied to scales, keys, chords and intervals", "minor"
"Organ device of producing a vibrato effect by alternately increasing and decreasing the wind pressure", "tremulant"
"Originally a slow and stately dance appearing in keyboard music of the 17th century. Later the passacaglia was a piece with a theme continually repeated, but not necessarily in the bass, like the chaconne", "passacaglia"
"Originally an American dance in duple time of which there are two main types?fast and slow. It first became popular in 1912", "foxtrot"
"Particularly used in sonata form, this term describes a section of a composition which repeats or approximates themes originally presented in a previous section, which have since been developed", "recapitulation"
"Piano soft (left) pedal", "damping pedal"
"Pleasing to the ear and sounding harmonically resolved. However, interpretations of this term vary considerably. The opposite is discord", "concord"
"Popular in opera, this is a comic song in which words, sung as fast as possible, are often tongue-twisters. Often found in the works of Gilbert and Sullivan", "patter song"
"Popularly known as a round, this is a never-ending canon which is also known as an infinite canon", "perpetual canon"
"Position of note in scale (e.g. D is the second degree of C major scale)", "degree"
"Prefix attached to note indicating pitch to be raised by two semitones", "double sharp"
"Properly, music to be performed during the action of a play. However, the term also includes overtures and interludes", "incidental music"
"Refers to alternate naming or spelling of the same musical note (e.g. A flat is the same as G sharp)", "enharmonic"
"Repeat from the beginning", "Da capo"
"Repeat from the sign", "Dal segno"
"Repeat to the sign", "Da capo al segno"
"Repeat up to the word Fine (the end)", "Da capo al fine"
"Same as common time consisting of four quarter notes to the bar, written 4 / 4 or C", "quadruple time"
"Same as concord", "consonance"
"Same as continuo", "thorough bass"
"Same as discord (see concord)", "dissonance"
"Same as duet but mainly an instrumental composition for two performers. A piano duo is for two pianists on separate pianos", "duo"
"Same as improvisation", "extemporisation"
"Same as ornament, used to embellish a melody line and normally printed in smaller type", "grace note"
"Same as ornaments", "embellishments"
"Same as rondo form", "episodical form"
"Same as serial music", "dodecaphonic music"
"Same as symphonic poem", "tone poem"
